UPDATE -1 REQUEST 1523540765402
UPDATE -1 SCHEDULING 1523540765410
UPDATE 0 SCHEDULED 1523540765413
UPDATE 0 ENDPOINT_REQUEST 1523540765413
UPDATE 0 ENDPOINT_RESPONSE 1523540765599
UPDATE 0 RESPONDING 1523540765604
UPDATE 0 RESPONSE_SENT 1523540765609
QUERY -1 REQUEST 1523540836549
QUERY -1 SCHEDULING 1523540836550
QUERY 1 SCHEDULED 1523540836550
QUERY 1 ENDPOINT_REQUEST 1523540836550
QUERY 1 ENDPOINT_RESPONSE 1523540836675
QUERY 1 RESPONDING 1523540836676
QUERY 1 RESPONSE_SENT 1523540836677
QUERY -1 REQUEST 1523540846167
QUERY -1 SCHEDULING 1523540846167
QUERY 2 SCHEDULED 1523540846168
QUERY 2 ENDPOINT_REQUEST 1523540846168
com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 11 path $
QUERY 2 ENDPOINT_RESPONSE 1523540846238
ERROR 2 RESPONDING 1523540846238
ERROR 2 RESPONSE_SENT 1523540846240
QUERY -1 REQUEST 1523540943673
QUERY -1 SCHEDULING 1523540943674
QUERY 3 SCHEDULED 1523540943674
QUERY 3 ENDPOINT_REQUEST 1523540943674
QUERY 3 ENDPOINT_RESPONSE 1523540943732
QUERY 3 RESPONDING 1523540943733
QUERY 3 RESPONSE_SENT 1523540943734
UPDATE -1 REQUEST 1523540946010
UPDATE -1 SCHEDULING 1523540946011
UPDATE 4 SCHEDULED 1523540946011
UPDATE 4 ENDPOINT_REQUEST 1523540946011
UPDATE 4 ENDPOINT_RESPONSE 1523540946067
UPDATE 4 RESPONDING 1523540946068
UPDATE 4 RESPONSE_SENT 1523540946068
QUERY -1 REQUEST 1523540948280
QUERY -1 SCHEDULING 1523540948280
QUERY 5 SCHEDULED 1523540948281
QUERY 5 ENDPOINT_REQUEST 1523540948281
QUERY 5 ENDPOINT_RESPONSE 1523540948407
QUERY 5 RESPONDING 1523540948408
QUERY 5 RESPONSE_SENT 1523540948409
UPDATE -1 REQUEST 1523540959911
UPDATE -1 SCHEDULING 1523540959912
UPDATE 6 SCHEDULED 1523540959912
UPDATE 6 ENDPOINT_REQUEST 1523540959912
UPDATE 6 ENDPOINT_RESPONSE 1523540959960
UPDATE 6 RESPONDING 1523540959961
UPDATE 6 RESPONSE_SENT 1523540959962
QUERY -1 REQUEST 1523540961784
QUERY -1 SCHEDULING 1523540961785
QUERY 7 SCHEDULED 1523540961785
QUERY 7 ENDPOINT_REQUEST 1523540961786
QUERY 7 ENDPOINT_RESPONSE 1523540961875
QUERY 7 RESPONDING 1523540961876
QUERY 7 RESPONSE_SENT 1523540961877
UPDATE -1 REQUEST 1523540996995
UPDATE -1 SCHEDULING 1523540996995
UPDATE 8 SCHEDULED 1523540996996
UPDATE 8 ENDPOINT_REQUEST 1523540996996
UPDATE 8 ENDPOINT_RESPONSE 1523540997053
UPDATE 8 RESPONDING 1523540997054
UPDATE 8 RESPONSE_SENT 1523540997055
SUBSCRIBE -1 SCHEDULING 138000000
SUBSCRIBE -1 REQUEST 135000000
SUBSCRIBE 9 SCHEDULED 1523541001139
SUBSCRIBE 9 ENDPOINT_REQUEST 1523541001148
com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 11 path $
SUBSCRIBE 9 ENDPOINT_RESPONSE 1523541001190
Not initialized
SUBSCRIBE -1 SCHEDULING 422000000
SUBSCRIBE -1 REQUEST 422000000
SUBSCRIBE 10 SCHEDULED 1523541018423
SUBSCRIBE 10 ENDPOINT_REQUEST 1523541018427
com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 11 path $
SUBSCRIBE 10 ENDPOINT_RESPONSE 1523541018479
Not initialized
SUBSCRIBE -1 SCHEDULING 47000000
SUBSCRIBE -1 REQUEST 47000000
SUBSCRIBE 11 SCHEDULED 1523541083048
SUBSCRIBE 11 ENDPOINT_REQUEST 1523541083051
com.google.gson.stream.MalformedJsonException: Use JsonReader.setLenient(true) to accept malformed JSON at line 1 column 11 path $
SUBSCRIBE 11 ENDPOINT_RESPONSE 1523541174528
Not initialized
